cluster_rank,h0_feature_index,birth,death,persistence,num_points_in_cluster,top_genres,top_artists,sample_songs
11,446640,5.960464477539063e-08,1.1544830799102783,1.1544830203056335,480368,"['Unknown genre'], ['ccm', 'christian alternative rock', 'christian music', 'worship'], ['contemporary country', 'country', 'country road'], ['gospel'], ['adult standards', 'easy listening', 'lounge']","Frank Sinatra, Johnny Cash, Willie Nelson, Elvis Presley, Ella Fitzgerald",None — paper doll come try it on step out of that black chiffon here s a dress of gold and blue sure was fu...; None — on my way on my way on my way on my way i would like to reach out my hand oombayseeyou oombaytellyou...; Lil Uzi Vert — are you alright i m alright i m quite alright and my money s right 8 countin them bands all way to t...; None — it s tearin up my heart when i m with you but when we are apart i feel it too and no matter what i d...; None — some of us we re hardly ever here the rest of us we re born to disappear how do i stop myself from b...
12,446639,4.214684778958144e-08,1.1538293361663818,1.153829294019534,480368,"['Unknown genre'], ['ccm', 'christian alternative rock', 'christian music', 'worship'], ['contemporary country', 'country', 'country road'], ['gospel'], ['adult standards', 'easy listening', 'lounge']","Frank Sinatra, Johnny Cash, Willie Nelson, Elvis Presley, Ella Fitzgerald",None — paper doll come try it on step out of that black chiffon here s a dress of gold and blue sure was fu...; None — on my way on my way on my way on my way i would like to reach out my hand oombayseeyou oombaytellyou...; Lil Uzi Vert — are you alright i m alright i m quite alright and my money s right 8 countin them bands all way to t...; None — it s tearin up my heart when i m with you but when we are apart i feel it too and no matter what i d...; None — some of us we re hardly ever here the rest of us we re born to disappear how do i stop myself from b...
13,446638,4.214684778958144e-08,1.1510522365570068,1.151052194410159,480368,"['Unknown genre'], ['ccm', 'christian alternative rock', 'christian music', 'worship'], ['contemporary country', 'country', 'country road'], ['gospel'], ['adult standards', 'easy listening', 'lounge']","Frank Sinatra, Johnny Cash, Willie Nelson, Elvis Presley, Ella Fitzgerald",None — paper doll come try it on step out of that black chiffon here s a dress of gold and blue sure was fu...; None — on my way on my way on my way on my way i would like to reach out my hand oombayseeyou oombaytellyou...; Lil Uzi Vert — are you alright i m alright i m quite alright and my money s right 8 countin them bands all way to t...; None — it s tearin up my heart when i m with you but when we are apart i feel it too and no matter what i d...; None — some of us we re hardly ever here the rest of us we re born to disappear how do i stop myself from b...
14,446637,4.214684778958144e-08,1.1485472917556763,1.1485472496088285,480368,"['Unknown genre'], ['ccm', 'christian alternative rock', 'christian music', 'worship'], ['contemporary country', 'country', 'country road'], ['gospel'], ['adult standards', 'easy listening', 'lounge']","Frank Sinatra, Johnny Cash, Willie Nelson, Elvis Presley, Ella Fitzgerald",None — paper doll come try it on step out of that black chiffon here s a dress of gold and blue sure was fu...; None — on my way on my way on my way on my way i would like to reach out my hand oombayseeyou oombaytellyou...; Lil Uzi Vert — are you alright i m alright i m quite alright and my money s right 8 countin them bands all way to t...; None — it s tearin up my heart when i m with you but when we are apart i feel it too and no matter what i d...; None — some of us we re hardly ever here the rest of us we re born to disappear how do i stop myself from b...
15,446636,5.960464477539063e-08,1.1484380960464478,1.148438036441803,480368,"['Unknown genre'], ['ccm', 'christian alternative rock', 'christian music', 'worship'], ['contemporary country', 'country', 'country road'], ['gospel'], ['adult standards', 'easy listening', 'lounge']","Frank Sinatra, Johnny Cash, Willie Nelson, Elvis Presley, Ella Fitzgerald",None — paper doll come try it on step out of that black chiffon here s a dress of gold and blue sure was fu...; None — on my way on my way on my way on my way i would like to reach out my hand oombayseeyou oombaytellyou...; Lil Uzi Vert — are you alright i m alright i m quite alright and my money s right 8 countin them bands all way to t...; None — it s tearin up my heart when i m with you but when we are apart i feel it too and no matter what i d...; None — some of us we re hardly ever here the rest of us we re born to disappear how do i stop myself from b...
16,446635,5.960464477539063e-08,1.1483255624771118,1.148325502872467,480368,"['Unknown genre'], ['ccm', 'christian alternative rock', 'christian music', 'worship'], ['contemporary country', 'country', 'country road'], ['gospel'], ['adult standards', 'easy listening', 'lounge']","Frank Sinatra, Johnny Cash, Willie Nelson, Elvis Presley, Ella Fitzgerald",None — paper doll come try it on step out of that black chiffon here s a dress of gold and blue sure was fu...; None — on my way on my way on my way on my way i would like to reach out my hand oombayseeyou oombaytellyou...; Lil Uzi Vert — are you alright i m alright i m quite alright and my money s right 8 countin them bands all way to t...; None — it s tearin up my heart when i m with you but when we are apart i feel it too and no matter what i d...; None — some of us we re hardly ever here the rest of us we re born to disappear how do i stop myself from b...
17,446634,5.960464477539063e-08,1.1470701694488525,1.1470701098442078,480368,"['Unknown genre'], ['ccm', 'christian alternative rock', 'christian music', 'worship'], ['contemporary country', 'country', 'country road'], ['gospel'], ['adult standards', 'easy listening', 'lounge']","Frank Sinatra, Johnny Cash, Willie Nelson, Elvis Presley, Ella Fitzgerald",None — paper doll come try it on step out of that black chiffon here s a dress of gold and blue sure was fu...; None — on my way on my way on my way on my way i would like to reach out my hand oombayseeyou oombaytellyou...; Lil Uzi Vert — are you alright i m alright i m quite alright and my money s right 8 countin them bands all way to t...; None — it s tearin up my heart when i m with you but when we are apart i feel it too and no matter what i d...; None — some of us we re hardly ever here the rest of us we re born to disappear how do i stop myself from b...
18,446633,4.214684778958144e-08,1.145110845565796,1.145110803418948,480368,"['Unknown genre'], ['ccm', 'christian alternative rock', 'christian music', 'worship'], ['contemporary country', 'country', 'country road'], ['gospel'], ['adult standards', 'easy listening', 'lounge']","Frank Sinatra, Johnny Cash, Willie Nelson, Elvis Presley, Ella Fitzgerald",None — paper doll come try it on step out of that black chiffon here s a dress of gold and blue sure was fu...; None — on my way on my way on my way on my way i would like to reach out my hand oombayseeyou oombaytellyou...; Lil Uzi Vert — are you alright i m alright i m quite alright and my money s right 8 countin them bands all way to t...; None — it s tearin up my heart when i m with you but when we are apart i feel it too and no matter what i d...; None — some of us we re hardly ever here the rest of us we re born to disappear how do i stop myself from b...
19,446632,0.0,1.1438384056091309,1.1438384056091309,480368,"['Unknown genre'], ['ccm', 'christian alternative rock', 'christian music', 'worship'], ['contemporary country', 'country', 'country road'], ['gospel'], ['adult standards', 'easy listening', 'lounge']","Frank Sinatra, Johnny Cash, Willie Nelson, Elvis Presley, Ella Fitzgerald",None — paper doll come try it on step out of that black chiffon here s a dress of gold and blue sure was fu...; None — on my way on my way on my way on my way i would like to reach out my hand oombayseeyou oombaytellyou...; Lil Uzi Vert — are you alright i m alright i m quite alright and my money s right 8 countin them bands all way to t...; None — it s tearin up my heart when i m with you but when we are apart i feel it too and no matter what i d...; None — some of us we re hardly ever here the rest of us we re born to disappear how do i stop myself from b...
20,446631,5.960464477539063e-08,1.142236351966858,1.1422362923622131,480368,"['Unknown genre'], ['ccm', 'christian alternative rock', 'christian music', 'worship'], ['contemporary country', 'country', 'country road'], ['gospel'], ['adult standards', 'easy listening', 'lounge']","Frank Sinatra, Johnny Cash, Willie Nelson, Elvis Presley, Ella Fitzgerald",None — paper doll come try it on step out of that black chiffon here s a dress of gold and blue sure was fu...; None — on my way on my way on my way on my way i would like to reach out my hand oombayseeyou oombaytellyou...; Lil Uzi Vert — are you alright i m alright i m quite alright and my money s right 8 countin them bands all way to t...; None — it s tearin up my heart when i m with you but when we are apart i feel it too and no matter what i d...; None — some of us we re hardly ever here the rest of us we re born to disappear how do i stop myself from b...
